stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
Hamburg S Alte Wöhr,457955,317247,53.59683,10.037029,
Hamburg S Alte Wöhr,457955,559483,53.598133,10.036688,
Hamburg S Bahrenfeld,476417,178416,53.55979,9.909873,
Hamburg S Blankenese,574254,372824,53.56331,9.814409,
Hamburg S Blankenese,574254,437357,53.563534,9.814741,
Hamburg S Blankenese,574254,481965,53.56367,9.813595,
Hamburg S Blankenese,574254,640365,53.563896,9.813816,
Hamburg S Elbgaustraße,648002,253654,53.60356,9.893749,
Hamburg S Elbgaustraße,648002,303305,53.603146,9.89306,
Hamburg S Elbgaustraße,648002,460880,53.603123,9.893227,
Hamburg S Elbgaustraße,648002,544515,53.603355,9.892566,
Hamburg S Elbgaustraße,648002,619436,53.603333,9.893034,
Hamburg S Friedrichsberg,423668,347223,53.576508,10.05857,
Hamburg S Friedrichsberg,423668,395263,53.57575,10.058052,
Hamburg S Friedrichsberg,423668,85418,53.576702,10.058922,
Hamburg S Hamburg Airport,354990,382196,53.63267,10.006585,
Hamburg S Hamburg Airport,354990,424832,53.63265,10.006496,
Hamburg S Hamburg Airport,354990,484517,53.63267,10.006298,
Hamburg S Hamburg Airport,354990,582427,53.63529,10.006532,
Hamburg S Hochkamp,8003,313129,53.561146,9.842697,
Hamburg S Iserbrook,424542,15442,53.577423,9.813457,
Hamburg S Iserbrook,424542,538589,53.577393,9.813897,
Hamburg S Klein Flottbek,374658,151414,53.55836,9.861355,
Hamburg S Klein Flottbek,374658,476591,53.558468,9.86175,
Hamburg S Landwehr (Ramazan-Avci-Platz),480254,12400,53.56148,10.037056,
Hamburg S Nettelnburg,455587,324285,53.488556,10.181685,
Hamburg S Nettelnburg,455587,358224,53.488476,10.183167,
Hamburg S Nettelnburg,455587,41143,53.488564,10.182053,
Hamburg S Neugraben,135332,316575,53.473255,9.851797,
Hamburg S Othmarschen,128955,8067,53.559006,9.887199,
Hamburg S Poppenbüttel (Stormarnplatz),414481,266601,53.65142,10.094468,
Hamburg S Poppenbüttel (Wentzelplatz),453152,178317,53.651398,10.09268,
Hamburg S Poppenbüttel (Wentzelplatz),453152,247310,53.65172,10.092779,
Hamburg S Poppenbüttel (Wentzelplatz),453152,272819,53.651524,10.092428,
Hamburg S Poppenbüttel (Wentzelplatz),453152,343333,53.65181,10.092482,
Hamburg S Poppenbüttel (Wentzelplatz),453152,427262,53.65149,10.092536,
Hamburg S Reeperbahn,344845,211254,53.55095,9.955632,
Hamburg S Reeperbahn,344845,231497,53.550034,9.955778,
Hamburg S Reeperbahn,344845,299921,53.54939,9.955265,
Hamburg S Reeperbahn,344845,417699,53.549652,9.956086,
Hamburg S Reeperbahn,344845,4916,53.54971,9.954669,
Hamburg S Rissen,260111,265492,53.58249,9.758606,
Hamburg S Rissen,260111,326326,53.58244,9.759091,
Hamburg S Rübenkamp,589285,39775,53.60739,10.033032,
Hamburg S Rübenkamp (Zugang S-Bahn),419821,282509,53.60739,10.032987,
Hamburg S Sülldorf,94334,261673,53.580315,9.796317,
Hamburg S Tiefstack,22903,277402,53.530495,10.064805,
Hamburg S Tiefstack,22903,95311,53.530605,10.064446,
Hamburg S Wellingsbüttel,369998,468634,53.640953,10.082736,
Hamburg Sachsenstraße,577788,133734,53.54628,10.027085,
Hamburg Sachsenstraße,577788,96018,53.546364,10.027435,
Hamburg Saselbekstraße,83312,127526,53.656193,10.134101,
Hamburg Saselbekstraße,83312,5219,53.655804,10.132655,
Hamburg Schippelsweg,596831,564841,53.6348,9.952678,
Hamburg Schippelsweg,596831,567491,53.634808,9.952812,
Hamburg Schlump,52178,314713,53.56761,9.969916,
Hamburg Schlump,52178,603280,53.567764,9.969952,
Hamburg Sengelmannstraße (City Nord),612376,358642,53.60944,10.021992,
Hamburg Sengelmannstraße (City Nord),612376,386072,53.609344,10.022063,
Hamburg Seumestraße,361739,242038,53.573597,10.052283,
Hamburg Seumestraße,361739,633237,53.573,10.054744,
Hamburg Sievekingplatz,144724,137540,53.555958,9.97746,
Hamburg Sievekingplatz,144724,573944,53.556953,9.977664,
Hamburg Sievekingplatz,144724,630001,53.55615,9.977329,
Hamburg Steinfurther Allee,437053,270513,53.541084,10.139177,
Hamburg Steinfurther Allee,437053,417645,53.54103,10.139213,
Hamburg Steinfurther Allee (Nord),214446,45263,53.54128,10.137946,
Hamburg Steinfurther Allee (Nord),214446,503520,53.541252,10.137614,
Hamburg Steinstraße,365356,268315,53.54907,10.006289,
Hamburg Steinstraße,365356,513276,53.54908,10.006127,
Hamburg Steinwerder,6126,538728,53.54004,9.966476,
Hamburg Stephansplatz (Oper/CCH),481291,43038,53.558556,9.98932,
Hamburg Stephansplatz (Oper/CCH),481291,6410,53.558586,9.989491,
Hamburg Straßburger Straße,300045,119457,53.581657,10.068183,
Hamburg Straßburger Straße,300045,357045,53.581635,10.068021,
Hamburg Süderelbe (Süd),611500,172283,53.470257,9.993731,
Hamburg Süderelbe (Süd),611500,201064,53.47016,9.993217,
Hamburg Theater im Hafen,134745,267612,53.540764,9.974156,
Hamburg Theater im Hafen,134745,541958,53.540546,9.974947,
Hamburg Trabrennbahn,228681,234383,53.59831,10.102579,
Hamburg Trabrennbahn,228681,307795,53.598427,10.102499,
Hamburg Trabrennbahn Bahrenfeld,519907,178707,53.573635,9.89197,
Hamburg Trabrennbahn Bahrenfeld,519907,476237,53.573803,9.892306,
Hamburg Trabrennbahn Bahrenfeld,519907,484791,53.573856,9.892428,
Hamburg Trabrennbahn Bahrenfeld,519907,647406,53.573917,9.891553,
Hamburg U Alsterdorf,195991,171438,53.60689,10.011715,
Hamburg U Alsterdorf,195991,265871,53.606888,10.01202,
Hamburg U Alsterdorf,195991,353652,53.60723,10.011796,
Hamburg U Alsterdorf,195991,96710,53.607162,10.012442,
Hamburg U Alter Teichweg,172301,328776,53.58612,10.064958,
Hamburg U Alter Teichweg,172301,413686,53.587154,10.064033,
Hamburg U Alter Teichweg,172301,49257,53.586197,10.063709,
Hamburg U Baumwall,341929,280491,53.54444,9.981666,
Hamburg U Baumwall,341929,587269,53.544067,9.981352,
Hamburg U Baumwall,341929,59070,53.544067,9.980741,
Hamburg U Berne,345947,137766,53.62597,10.140138,
Hamburg U Berne,345947,395843,53.626778,10.140192,
Hamburg U Berne (Berner Heerweg),576926,165484,53.626602,10.138701,
Hamburg U Berne (Berner Heerweg),576926,372329,53.62663,10.138593,
Hamburg U Billstedt,98052,105436,53.54256,10.107664,
Hamburg U Billstedt,98052,235399,53.54239,10.106353,
Hamburg U Billstedt,98052,445989,53.542583,10.106541,
Hamburg U Billstedt,98052,58381,53.54222,10.107817,
Hamburg U Billstedt,98052,635730,53.54243,10.107152,
Hamburg U Borgweg,215108,115616,53.590664,10.015524,
Hamburg U Borgweg,215108,53455,53.590916,10.015757,
Hamburg U Buchenkamp,309633,294485,53.65305,10.186608,
Hamburg U Burgstraße,313560,261415,53.55579,10.042985,
Hamburg U Burgstraße,313560,403858,53.55585,10.041264,
Hamburg U Burgstraße,313560,625171,53.55567,10.040156,
Hamburg U Burgstraße,313560,93149,53.55548,10.040623,
Hamburg U Christuskirche,138129,107801,53.569565,9.964787,
Hamburg U Christuskirche,138129,508305,53.569336,9.964553,
Hamburg U Dehnhaide,544480,149390,53.580223,10.040991,
Hamburg U Dehnhaide,544480,18705,53.580112,10.041764,
Hamburg U Dehnhaide,544480,218173,53.579365,10.041799,
Hamburg U Dehnhaide,544480,219134,53.579582,10.041629,
Hamburg U Emilienstraße,601879,283902,53.57147,9.952462,
Hamburg U Emilienstraße,601879,76221,53.571533,9.952588,
Hamburg U Eppendorfer Baum,6692,399074,53.584003,9.983598,
Hamburg U Eppendorfer Baum,6692,537597,53.583763,9.983562,
Hamburg U Farmsen,363001,59410,53.607174,10.117447,
Hamburg U Farmsen,363001,71611,53.60664,10.118614,
Hamburg U Farmsen,363001,86049,53.607445,10.117105,
Hamburg U Feldstraße,548777,375903,53.5574,9.969216,
Hamburg U Feldstraße,548777,524618,53.557285,9.969404,
Hamburg U Fuhlsbüttel,348083,285147,53.631897,10.026097,
Hamburg U Fuhlsbüttel,348083,294787,53.632378,10.025926,
Hamburg U Fuhlsbüttel,348083,359026,53.632137,10.025666,
Hamburg U Fuhlsbüttel,348083,97152,53.632584,10.02598,
Hamburg U Fuhlsbüttel Nord,638511,118598,53.640163,10.017105,
Hamburg U Fuhlsbüttel Nord,638511,16575,53.64012,10.016458,
Hamburg U Gänsemarkt,378788,135600,53.555454,9.988592,
Hamburg U HafenCity Universität,468528,27308,53.54083,10.006559,
Hamburg U HafenCity Universität,468528,377115,53.540657,10.005454,
Hamburg U Hagenbecks Tierpark,233885,460535,53.593327,9.94356,
Hamburg U Hallerstraße,110045,134309,53.572742,9.98932,
Hamburg U Hallerstraße,110045,198508,53.57326,9.988623,
Hamburg U Hallerstraße,110045,508576,53.572636,9.989288,
Hamburg U Hallerstraße,110045,533977,53.57344,9.988733,
Hamburg U Hamburger Straße,374250,143413,53.574192,10.037128,
Hamburg U Hamburger Straße,374250,38434,53.574814,10.035826,
Hamburg U Hamburger Straße,374250,431329,53.57425,10.033697,
Hamburg U Hamburger Straße,374250,442863,53.575214,10.035924,
Hamburg U Hamburger Straße,374250,495341,53.57458,10.036221,
Hamburg U Hammer Kirche,577264,215963,53.555515,10.054582,
Hamburg U Hammer Kirche,577264,333941,53.555332,10.055526,
Hamburg U Hammer Kirche,577264,521519,53.55539,10.055445,
Hamburg U Hoheluftbrücke,253735,338162,53.578674,9.976061,
Hamburg U Hoheluftbrücke,253735,571135,53.578236,9.976285,
Hamburg U Horner Rennbahn,369540,329472,53.55444,10.084631,
Hamburg U Horner Rennbahn,369540,601856,53.554173,10.084254,
Hamburg U Horner Rennbahn,369540,71519,53.553177,10.085377,
Hamburg U Hudtwalckerstraße,33214,194202,53.594093,9.996228,
Hamburg U Kellinghusenstraße,480650,230276,53.5882,9.991313,
Hamburg U Kellinghusenstraße,480650,353987,53.58908,9.991566,
Hamburg U Klosterstern,286281,551573,53.582302,9.987371,
Hamburg U Klosterstern,286281,58093,53.582195,9.987388,
Hamburg U Langenhorn Markt,131555,249873,53.649433,10.017356,
Hamburg U Langenhorn Markt,131555,507438,53.64928,10.017554,
Hamburg U Langenhorn Markt,131555,526563,53.649292,10.017042,
Hamburg U Langenhorn Markt (Tangstedter Landstraße,111197,402543,53.648956,10.016368,
Hamburg U Langenhorn Nord,397957,610021,53.66136,10.018722,
Hamburg U Lattenkamp,640777,150467,53.59989,9.993937,
Hamburg U Lattenkamp,640777,526573,53.599834,9.995114,
Hamburg U Lattenkamp,640777,618815,53.600075,9.995033,
Hamburg U Lohmühlenstraße,480614,594362,53.55713,10.02006,
Hamburg U Lübecker Straße,558648,222163,53.560047,10.028783,
Hamburg U Lübecker Straße,558648,288958,53.560192,10.028765,
Hamburg U Meiendorfer Weg,369064,396247,53.63906,10.157089,
Hamburg U Meiendorfer Weg,369064,601610,53.6394,10.156317,
Hamburg U Merkenstraße,566960,394184,53.539154,10.127328,
Hamburg U Merkenstraße,566960,420449,53.538773,10.126843,
Hamburg U Merkenstraße,566960,496297,53.53895,10.127256,
Hamburg U Merkenstraße,566960,624224,53.538773,10.127804,
Hamburg U Mundsburg,271672,177393,53.5697,10.027597,
Hamburg U Mundsburg,271672,365916,53.569912,10.026259,
Hamburg U Mundsburg,271672,498325,53.56994,10.027211,
Hamburg U Mundsburg,271672,594648,53.56979,10.02757,
Hamburg U Mümmelmannsberg,490920,154665,53.52712,10.14984,
Hamburg U Niendorf Markt,16910,154033,53.61888,9.952094,
Hamburg U Niendorf Markt,16910,160783,53.61917,9.952022,
Hamburg U Niendorf Markt,16910,228384,53.61911,9.952157,
Hamburg U Niendorf Markt,16910,44345,53.619526,9.952273,
Hamburg U Niendorf Markt,16910,456340,53.61924,9.952007,
Hamburg U Niendorf Markt,16910,588869,53.619453,9.952336,
Hamburg U Niendorf Markt,16910,637825,53.6195,9.95236,
Hamburg U Niendorf Nord,156061,254754,53.64034,9.949596,
Hamburg U Niendorf Nord,156061,274150,53.64047,9.949848,
Hamburg U Niendorf Nord,156061,438602,53.64024,9.949659,
Hamburg U Niendorf Nord,156061,618547,53.640217,9.949533,
Hamburg U Niendorf Nord,156061,643687,53.64045,9.949453,
Hamburg U Ochsenzoll,253145,105257,53.677616,10.000661,
Hamburg U Ochsenzoll,253145,277769,53.67817,10.000826,
Hamburg U Ochsenzoll,253145,5745,53.677982,10.0007,
Hamburg U Ochsenzoll,253145,633718,53.677376,10.000429,
Hamburg U Ritterstraße,543311,444514,53.567276,10.043946,
Hamburg U Ritterstraße,543311,60192,53.567204,10.044198,
Hamburg U Rödingsmarkt,128169,183727,53.548363,9.989717,
Hamburg U Rödingsmarkt,128169,218252,53.548424,9.989824,
Hamburg U Rödingsmarkt,128169,75808,53.54851,9.98794,
Hamburg U S Barmbek,257563,151853,53.58755,10.045357,
Hamburg U S Barmbek,257563,204403,53.587906,10.043542,
Hamburg U S Barmbek,257563,237617,53.586987,10.043713,
Hamburg U S Barmbek,257563,337830,53.58684,10.044962,
Hamburg U S Barmbek,257563,384194,53.58692,10.044216,
Hamburg U S Barmbek,257563,448134,53.58763,10.044944,
Hamburg U S Barmbek,257563,602250,53.586617,10.045509,
Hamburg U S Barmbek,257563,89728,53.586853,10.044881,
Hamburg U S Berliner Tor,235279,424781,53.55341,10.025046,
Hamburg U S Berliner Tor,235279,494315,53.55348,10.025711,
Hamburg U S Berliner Tor (Beim Strohhause),449069,123055,53.553307,10.021746,
Hamburg U S Berliner Tor (Beim Strohhause),449069,53995,53.55341,10.025046,
Hamburg U S Berliner Tor (Beim Strohhause),449069,623665,53.553463,10.023079,
Hamburg U S Berliner Tor (Beim Strohhause),449069,74521,53.553307,10.023348,
Hamburg U S Berliner Tor (Beim Strohhause),449069,93069,53.55333,10.022872,
Hamburg U S Jungfernstieg,277540,583026,53.55304,9.992653,
Hamburg U S Landungsbrücken,119500,360757,53.5457,9.970465,
Hamburg U S Landungsbrücken,119500,398591,53.545685,9.971083,
Hamburg U S Landungsbrücken,119500,423717,53.54643,9.970089,
Hamburg U S Landungsbrücken,119500,545121,53.54557,9.970884,
Hamburg U S Ohlsdorf,635375,115835,53.621597,10.031424,
Hamburg U S Ohlsdorf(Freibad),397344,209604,53.620796,10.030984,
